"","x","y","glgs_DEM_30m_area_4326","Site_ID","precipitation","date"
"1",98.80537,25.31363,1408,"14003",2.60818710971131,"20140527"
"2",98.80422,25.31137,1438,"14004",2.57767323413571,"20140527"
"3",98.79755,25.30981,1418,"14002",2.58118728787839,"20140527"
"4",98.7967,25.29758,1823,"18001",2.35516256369909,"20140527"
"5",98.78954,25.30451,1811,"18002",2.3691822669608,"20140527"
"6",98.80348,25.30637,1402,"14001",2.60403040022925,"20140527"
"7",98.28615,27.684,1414,"DLJ_14003",2.74552343010811,"20140527"
"8",98.30763,27.67869,1433,"DLJ_14001M",2.71663345052796,"20140527"
"9",98.29002,27.6754,1406,"DLJ_14004",2.72713014826185,"20140527"
"10",98.30112,27.68462,1860,"DLJ_18001",2.4793833816318,"20140527"
"11",98.29964,27.67744,1827,"DLJ_18002",2.4670352861366,"20140527"
"12",98.28477,27.69271,1426,"DLJ_14002",2.73368306604014,"20140527"
"13",98.27225,27.68854,1441,"DLJ_14001",2.73760277897413,"20140527"
"14",98.80537,25.31363,1408,"14003",2.38028729082069,"20140528"
"21",98.80422,25.31137,1438,"14004",2.32111866343533,"20140528"
"31",98.79755,25.30981,1418,"14002",2.33984650024743,"20140528"
"41",98.7967,25.29758,1823,"18001",1.89886058827792,"20140528"
"51",98.78954,25.30451,1811,"18002",1.94344869536255,"20140528"
"61",98.80348,25.30637,1402,"14001",2.37055223627092,"20140528"
"71",98.28615,27.684,1414,"DLJ_14003",5.28149597664475,"20140528"
"81",98.30763,27.67869,1433,"DLJ_14001M",5.33450615025037,"20140528"
"91",98.29002,27.6754,1406,"DLJ_14004",5.26725580902152,"20140528"
"101",98.30112,27.68462,1860,"DLJ_18001",4.83807186800642,"20140528"
"111",98.29964,27.67744,1827,"DLJ_18002",4.8079960471592,"20140528"
"121",98.28477,27.69271,1426,"DLJ_14002",5.24727215583532,"20140528"
"131",98.27225,27.68854,1441,"DLJ_14001",5.20213126997937,"20140528"
"15",98.80537,25.31363,1408,"14003",0.972240523035497,"20140529"
"22",98.80422,25.31137,1438,"14004",0.970997359065269,"20140529"
"32",98.79755,25.30981,1418,"14002",0.988860107565563,"20140529"
"42",98.7967,25.29758,1823,"18001",0.960974044071228,"20140529"
"52",98.78954,25.30451,1811,"18002",0.985336584803528,"20140529"
"62",98.80348,25.30637,1402,"14001",0.973150142639337,"20140529"
"72",98.28615,27.684,1414,"DLJ_14003",3.04895438709645,"20140529"
"82",98.30763,27.67869,1433,"DLJ_14001M",2.99395486800053,"20140529"
"92",98.29002,27.6754,1406,"DLJ_14004",3.03782706476121,"20140529"
"102",98.30112,27.68462,1860,"DLJ_18001",2.98383796244773,"20140529"
"112",98.29964,27.67744,1827,"DLJ_18002",2.98574676011863,"20140529"
"122",98.28477,27.69271,1426,"DLJ_14002",3.05029307057997,"20140529"
"132",98.27225,27.68854,1441,"DLJ_14001",3.08103327374144,"20140529"
"16",98.80537,25.31363,1408,"14003",2.1313208908987,"20140530"
"23",98.80422,25.31137,1438,"14004",2.09045224786978,"20140530"
"33",98.79755,25.30981,1418,"14002",2.09601118097393,"20140530"
"43",98.7967,25.29758,1823,"18001",1.79325781539691,"20140530"
"53",98.78954,25.30451,1811,"18002",1.81642624622593,"20140530"
"63",98.80348,25.30637,1402,"14001",2.12318094975104,"20140530"
"73",98.28615,27.684,1414,"DLJ_14003",2.80882726250519,"20140530"
"83",98.30763,27.67869,1433,"DLJ_14001M",2.89953266942288,"20140530"
"93",98.29002,27.6754,1406,"DLJ_14004",2.83262487514767,"20140530"
"103",98.30112,27.68462,1860,"DLJ_18001",2.53253875523735,"20140530"
"113",98.29964,27.67744,1827,"DLJ_18002",2.53075821551466,"20140530"
"123",98.28477,27.69271,1426,"DLJ_14002",2.75500489039743,"20140530"
"133",98.27225,27.68854,1441,"DLJ_14001",2.72329695515505,"20140530"
"17",98.80537,25.31363,1408,"14003",0.5497046273957,"20140531"
"24",98.80422,25.31137,1438,"14004",0.656884116266078,"20140531"
"34",98.79755,25.30981,1418,"14002",0.669298938320396,"20140531"
"44",98.7967,25.29758,1823,"18001",1.43546487845881,"20140531"
"54",98.78954,25.30451,1811,"18002",1.41124706053825,"20140531"
"64",98.80348,25.30637,1402,"14001",0.572338173097409,"20140531"
"74",98.28615,27.684,1414,"DLJ_14003",0.296224520846743,"20140531"
"84",98.30763,27.67869,1433,"DLJ_14001M",0.323058580568601,"20140531"
"94",98.29002,27.6754,1406,"DLJ_14004",0.351170724389278,"20140531"
"104",98.30112,27.68462,1860,"DLJ_18001",1.13657167406709,"20140531"
"114",98.29964,27.67744,1827,"DLJ_18002",1.1884136302568,"20140531"
"124",98.28477,27.69271,1426,"DLJ_14002",0.333775827813104,"20140531"
"134",98.27225,27.68854,1441,"DLJ_14001",0.367721481660485,"20140531"
"18",98.80537,25.31363,1408,"14003",0.696865323155796,"20140601"
"25",98.80422,25.31137,1438,"14004",0.813076779513629,"20140601"
"35",98.79755,25.30981,1418,"14002",0.844192732649602,"20140601"
"45",98.7967,25.29758,1823,"18001",1.65447337853451,"20140601"
"55",98.78954,25.30451,1811,"18002",1.64372465719592,"20140601"
"65",98.80348,25.30637,1402,"14001",0.728990396882308,"20140601"
"75",98.28615,27.684,1414,"DLJ_14003",-0.0786470780142255,"20140601"
"85",98.30763,27.67869,1433,"DLJ_14001M",0.0430400088651107,"20140601"
"95",98.29002,27.6754,1406,"DLJ_14004",0.0648648604685763,"20140601"
"105",98.30112,27.68462,1860,"DLJ_18001",0.824946924038147,"20140601"
"115",98.29964,27.67744,1827,"DLJ_18002",0.937986003387369,"20140601"
"125",98.28477,27.69271,1426,"DLJ_14002",-0.124810724695004,"20140601"
