Index	OTU	2D_ID	Channel_ID	Bottle_ID	Site_ID	Site_ID_1	Plate_ID	Position	Longitude	Latitude	Altitude	Altitude_1	Location	Setup_Site_Date	Distribution	Method	Tag	Collection_Date_formatted	Collection_Date_formatted_1	Year	Month	Collector	Image_File	Reverse_Complement_for_Papara	Sumaclust_97_OTU
1	TMS|2.0033|Juncole09-18.fas|	133681518	140032	2.0033	14003	14003	JUN_COLE09	B06	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0032 
2	TMS|2.0040|Julycole03-47.fas|	132946581	140042	2.0040	14004	14004	JULY_COLE03	D11	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0168 
3	TMS|2.0038|Julycole02-41.fas|	132945404	140022	2.0038	14002	14002	JULY_COLE02	D05	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
4	TMS|2.0041|Julycole01-09.fas|	132944109	180012	2.0041	18001	18001	JULY_COLE01	A09	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0099 
5	TMS|2.0038|Julycole06-58.fas|	132947168	140022	2.0038	14002	14002	JULY_COLE06	E10	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0115 
6	TMS|2.0040|Julycole14-14.fas|	132946730	140042	2.0040	14004	14004	JULY_COLE14	B02	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
7	TMS|2.0040|Julycole02-72.fas|	132946852	140042	2.0040	14004	14004	JULY_COLE02	F12	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0003 
8	TMS|2.0040|Julycole07-08.fas|	132946744	140042	2.0040	14004	14004	JULY_COLE07	A08	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
9	TMS|2.0047|Julycole10-48.fas|	132944017	180012	2.0047	18001	18001	JULY_COLE10	D12	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0065 
10	TMS|2.0040|Julycole04-36.fas|	132946901	140042	2.0040	14004	14004	JULY_COLE04	C12	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0861 
11	TMS|2.0033|Juncole08-32.fas|	133680821	140032	2.0033	14003	14003	JUN_COLE08	C08	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0001 
12	TMS|2.0041|Julycole01-60.fas|	132946387	180012	2.0041	18001	18001	JULY_COLE01	E12	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_2277 
13	TMS|2.0040|Julycole01-81.fas|	132946648	140042	2.0040	14004	14004	JULY_COLE01	G09	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0433 
14	TMS|2.0038|Julycole05-19.fas|	132945933	140022	2.0038	14002	14002	JULY_COLE05	B07	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0434 
15	TMS|2.0042|Julycole04-76.fas|	132947299	180022	2.0042	18002	18002	JULY_COLE04	G04	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0349 
16	TMS|2.0038|Julycole04-82.fas|	132946556	140022	2.0038	14002	14002	JULY_COLE04	G10	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
17	TMS|2.0038|Julycole08-88.fas|	132945969	140022	2.0038	14002	14002	JULY_COLE08	H04	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0013 
18	TMS|2.0038|Julycole05-31.fas|	132946301	140022	2.0038	14002	14002	JULY_COLE05	C07	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
19	TMS|2.0040|Julycole01-94.fas|	132944459	140042	2.0040	14004	14004	JULY_COLE01	H10	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_1354 
20	TMS|2.0047|Julycole07-26.fas|	132944059	180012	2.0047	18001	18001	JULY_COLE07	C02	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0126 
21	TMS|2.0042|Julycole01-33.fas|	132947321	180022	2.0042	18002	18002	JULY_COLE01	C09	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0161 
22	TMS|2.0041|Julycole07-86.fas|	132947928	180012	2.0041	18001	18001	JULY_COLE07	H02	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0907 
23	TMS|2.0038|Julycole06-39.fas|	132945901	140022	2.0038	14002	14002	JULY_COLE06	D03	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0675 
24	TMS|2.0038|Julycole01-45.fas|	132946458	140022	2.0038	14002	14002	JULY_COLE01	D09	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0001 
25	TMS|2.0040|Julycole04-72.fas|	132946943	140042	2.0040	14004	14004	JULY_COLE04	F12	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0003 
26	TMS|2.0040|Julycole04-90.fas|	132944924	140042	2.0040	14004	14004	JULY_COLE04	H06	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0246 
27	TMS|2.0038|Julycole07-90.fas|	132948768	140022	2.0038	14002	14002	JULY_COLE07	H06	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_2107 
28	TMS|2.0040|Julycole03-42.fas|	132944532	140042	2.0040	14004	14004	JULY_COLE03	D06	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0021 
29	TMS|2.0038|Julycole08-48.fas|	132946319	140022	2.0038	14002	14002	JULY_COLE08	D12	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0434 
30	TMS|2.0042|Julycole03-01.fas|	132947297	180022	2.0042	18002	18002	JULY_COLE03	A01	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0841 
31	TMS|2.0038|Julycole03-32.fas|	132946278	140022	2.0038	14002	14002	JULY_COLE03	C08	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0348 
32	TMS|2.0040|Julycole03-19.fas|	132944541	140042	2.0040	14004	14004	JULY_COLE03	B07	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0290 
33	TMS|2.0042|Julycole01-70.fas|	132947237	180022	2.0042	18002	18002	JULY_COLE01	F10	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_1311 
34	TMS|2.0036|Juncole15-87.fas|	133683422	180022	2.0036	18002	18002	JUN_COLE15	H03	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0173 
35	TMS|2.0031|Juncole14-01.fas|	133682266	140012	2.0031	14001	14001	JUN_COLE14	A01	98.80348	25.30637	1402	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0059 
36	TMS|2.0024|Juncole12-70.fas|	133680448	180022	2.0024	18002	18002	JUN_COLE12	F10	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_0026 
37	TMS|2.0036|Juncole14-84.fas|	133680885	180022	2.0036	18002	18002	JUN_COLE14	G12	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0365 
38	TMS|2.0036|Juncole14-51.fas|	133681853	180022	2.0036	18002	18002	JUN_COLE14	E03	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0173 
39	TMS|2.0031|Juncole12-42.fas|	133681062	140012	2.0031	14001	14001	JUN_COLE12	D06	98.80348	25.30637	1402	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0001 
40	TMS|2.0038|Julycole05-83.fas|	132948806	140022	2.0038	14002	14002	JULY_COLE05	G11	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0390 
