Bin,Start,End,Range,"Value 1","Value 2","Value 3","Value 4","Value 5","Percentage 1","Percentage 2","Percentage 3","Percentage 4","Percentage 5","Accumulated Value 1","Accumulated Value 2","Accumulated Value 3","Accumulated Value 4","Accumulated Value 5","Accumulated Percentage 1","Accumulated Percentage 2","Accumulated Percentage 3","Accumulated Percentage 4","Accumulated Percentage 5"
0,0,0.04,"[0, 0.04)",163,715,1390,1598,2101,0.0154884,0.0927728,0.194161,0.268888,0.37815,163,715,1390,1598,2101,0.0154884,0.0927728,0.194161,0.268888,0.37815
1,0.04,0.08,"[0.04, 0.08)",433,1484,1807,2059,2072,0.0411441,0.192552,0.25241,0.346458,0.37293,596,2199,3197,3657,4173,0.0566325,0.285325,0.446571,0.615346,0.75108
2,0.08,0.12,"[0.08, 0.12)",451,1154,1458,1287,968,0.0428544,0.149734,0.20366,0.216557,0.174226,1047,3353,4655,4944,5141,0.0994869,0.435059,0.65023,0.831903,0.925306
3,0.12,0.16,"[0.12, 0.16)",464,1268,1032,562,395,0.0440897,0.164526,0.144154,0.094565,0.0710943,1511,4621,5687,5506,5536,0.143577,0.599585,0.794385,0.926468,0.9964
4,0.16,0.2,"[0.16, 0.2)",535,840,658,272,20,0.0508362,0.108992,0.0919123,0.0457681,0.00359971,2046,5461,6345,5778,5556,0.194413,0.708577,0.886297,0.972236,1
5,0.2,0.24,"[0.2, 0.24)",448,663,437,156,0,0.0425694,0.0860257,0.061042,0.0262494,0,2494,6124,6782,5934,5556,0.236982,0.794602,0.947339,0.998486,1
6,0.24,0.28,"[0.24, 0.28)",398,485,196,9,0,0.0378183,0.0629298,0.0273781,0.00151439,0,2892,6609,6978,5943,5556,0.2748,0.857532,0.974717,1,1
7,0.28,0.32,"[0.28, 0.32)",374,436,167,0,0,0.0355378,0.0565719,0.0233273,0,0,3266,7045,7145,5943,5556,0.310338,0.914104,0.998044,1,1
8,0.32,0.36,"[0.32, 0.36)",505,264,14,0,0,0.0479856,0.0342546,0.00195558,0,0,3771,7309,7159,5943,5556,0.358324,0.948359,1,1,1
9,0.36,0.4,"[0.36, 0.4)",470,211,0,0,0,0.0446598,0.0273777,0,0,0,4241,7520,7159,5943,5556,0.402984,0.975736,1,1,1
10,0.4,0.44,"[0.4, 0.44)",327,100,0,0,0,0.0310718,0.0129752,0,0,0,4568,7620,7159,5943,5556,0.434055,0.988712,1,1,1
11,0.44,0.48,"[0.44, 0.48)",263,58,0,0,0,0.0249905,0.00752563,0,0,0,4831,7678,7159,5943,5556,0.459046,0.996237,1,1,1
12,0.48,0.52,"[0.48, 0.52)",257,29,0,0,0,0.0244204,0.00376281,0,0,0,5088,7707,7159,5943,5556,0.483466,1,1,1,1
13,0.52,0.56,"[0.52, 0.56)",247,0,0,0,0,0.0234702,0,0,0,0,5335,7707,7159,5943,5556,0.506937,1,1,1,1
14,0.56,0.6,"[0.56, 0.6)",185,0,0,0,0,0.0175789,0,0,0,0,5520,7707,7159,5943,5556,0.524515,1,1,1,1
15,0.6,0.64,"[0.6, 0.64)",193,0,0,0,0,0.018339,0,0,0,0,5713,7707,7159,5943,5556,0.542854,1,1,1,1
16,0.64,0.68,"[0.64, 0.68)",169,0,0,0,0,0.0160585,0,0,0,0,5882,7707,7159,5943,5556,0.558913,1,1,1,1
17,0.68,0.72,"[0.68, 0.72)",256,0,0,0,0,0.0243254,0,0,0,0,6138,7707,7159,5943,5556,0.583238,1,1,1,1
18,0.72,0.76,"[0.72, 0.76)",169,0,0,0,0,0.0160585,0,0,0,0,6307,7707,7159,5943,5556,0.599297,1,1,1,1
19,0.76,0.8,"[0.76, 0.8)",133,0,0,0,0,0.0126378,0,0,0,0,6440,7707,7159,5943,5556,0.611935,1,1,1,1
20,0.8,0.84,"[0.8, 0.84)",355,0,0,0,0,0.0337324,0,0,0,0,6795,7707,7159,5943,5556,0.645667,1,1,1,1
21,0.84,0.88,"[0.84, 0.88)",222,0,0,0,0,0.0210946,0,0,0,0,7017,7707,7159,5943,5556,0.666762,1,1,1,1
22,0.88,0.92,"[0.88, 0.92)",313,0,0,0,0,0.0297415,0,0,0,0,7330,7707,7159,5943,5556,0.696503,1,1,1,1
23,0.92,0.96,"[0.92, 0.96)",286,0,0,0,0,0.027176,0,0,0,0,7616,7707,7159,5943,5556,0.723679,1,1,1,1
24,0.96,1,"[0.96, 1)",2908,0,0,0,0,0.276321,0,0,0,0,10524,7707,7159,5943,5556,1,1,1,1,1
